Call Type,Location
Assault w/Deadly Weapon,1700BLK 9TH ST
Assault w/Deadly Weapon,1700BLK MICHIGAN AVE
Assault w/Deadly Weapon,1700BLK OCEAN FRONT WALK
Assault w/Deadly Weapon,1700BLK OCEAN PARK BLVD
Assault w/Deadly Weapon,17TH ST / BROADWAY
Assault w/Deadly Weapon,1800BLK 9TH ST
Assault w/Deadly Weapon,1800BLK EUCLID ST
Assault w/Deadly Weapon,1800BLK LINCOLN BLVD
Assault w/Deadly Weapon,18TH ST / OCEAN PARK BLVD
Assault w/Deadly Weapon,1900BLK 18TH ST
Assault w/Deadly Weapon,1900BLK 18TH ST
Assault w/Deadly Weapon,1900BLK 6TH ST
Assault w/Deadly Weapon,1900BLK LINCOLN BLVD
Assault w/Deadly Weapon,1900BLK MAIN ST
Assault w/Deadly Weapon,1900BLK MAIN ST
Assault w/Deadly Weapon,1900BLK PICO BLVD
Assault w/Deadly Weapon,19TH ST / OLYMPIC BLVD
Assault w/Deadly Weapon,2000BLK 14TH ST
Assault w/Deadly Weapon,2000BLK LINCOLN BLVD
Assault w/Deadly Weapon,2000BLK LINCOLN BLVD
Assault w/Deadly Weapon,2000BLK OCEAN AVE
Assault w/Deadly Weapon,2000BLK THE BEACH
Assault w/Deadly Weapon,200BLK BICKNELL AVE
Assault w/Deadly Weapon,200BLK PIER AVE
Assault w/Deadly Weapon,200BLK SANTA MONICA PIER
Assault w/Deadly Weapon,20TH ST / PICO BLVD
Assault w/Deadly Weapon,20TH ST/PICO BLVD
Assault w/Deadly Weapon,2100BLK LINCOLN BLVD
Assault w/Deadly Weapon,2100BLK LINCOLN BLVD
Assault w/Deadly Weapon,2100BLK MAIN ST
Assault w/Deadly Weapon,2100BLK SANTA MONICA BLVD
Assault w/Deadly Weapon,2100BLK SANTA MONICA BLVD
Assault w/Deadly Weapon,2200BLK BROADWAY
Assault w/Deadly Weapon,2200BLK COLORADO AVE
Assault w/Deadly Weapon,2200BLK COLORADO AVE
Assault w/Deadly Weapon,22ND ST / VIRGINIA AVE
Assault w/Deadly Weapon,2300BLK MAIN ST
Assault w/Deadly Weapon,2300BLK VIRGINIA AVE
Assault w/Deadly Weapon,2400BLK MAIN ST
Assault w/Deadly Weapon,2400BLK VIRGINIA AVE
Assault w/Deadly Weapon,24TH ST / MICHIGAN AVE
Assault w/Deadly Weapon,2500BLK MICHIGAN AVE
Assault w/Deadly Weapon,2500BLK PICO BLVD
Assault w/Deadly Weapon,2600BLK LINCOLN BLVD
Assault w/Deadly Weapon,2600BLK MAIN ST
Assault w/Deadly Weapon,2600BLK OCEAN PARK BLVD
Assault w/Deadly Weapon,2700BLK PICO BLVD
Assault w/Deadly Weapon,2700BLK PICO BLVD
Assault w/Deadly Weapon,2800BLK LINCOLN BLVD
Assault w/Deadly Weapon,2800BLK NEILSON WAY
Assault w/Deadly Weapon,2900BLK 3RD ST
Assault w/Deadly Weapon,2900BLK MAIN ST
Assault w/Deadly Weapon,2900BLK MAIN ST
Assault w/Deadly Weapon,2900BLK MAIN ST 
Assault w/Deadly Weapon,2ND ST / COLORADO AVE
Assault w/Deadly Weapon,2ND ST / SANTA MONICA BLVD
Assault w/Deadly Weapon,2ND ST/WILSHIRE BLVD
Assault w/Deadly Weapon,3000BLK 2ND ST
Assault w/Deadly Weapon,3000BLK OLYMPIC BLVD
Assault w/Deadly Weapon,3000BLK PICO BLVD
Assault w/Deadly Weapon,300BLK OLYMPIC DR
Assault w/Deadly Weapon,300BLK OLYMPIC DR
Assault w/Deadly Weapon,3100BLK MAIN ST
Assault w/Deadly Weapon,3100BLK PICO BLVD
Assault w/Deadly Weapon,3100BLK SANTA MONICA BLVD
Assault w/Deadly Weapon,3RD ST/BAY ST
Assault w/Deadly Weapon,3RD STREET PROM / BROADWAY
Assault w/Deadly Weapon,3RD STREET PROM / WILSHIRE BLVD
Assault w/Deadly Weapon,400BLK HILL ST
Assault w/Deadly Weapon,400BLK SANTA MONICA PIER
Assault w/Deadly Weapon,4TH ST / COLORADO AVE
Assault w/Deadly Weapon,4TH ST / ROSE AVE
Assault w/Deadly Weapon,4TH ST / WILSHIRE BLVD
Assault w/Deadly Weapon,500BLK BAY ST
Assault w/Deadly Weapon,500BLK OCEAN AVE
Assault w/Deadly Weapon,500BLK SANTA MONICA BLVD
Assault w/Deadly Weapon,500BLK SANTA MONICA BLVD
Assault w/Deadly Weapon,600BLK PICO BLVD
Assault w/Deadly Weapon,600BLK WILSHIRE BLVD
Assault w/Deadly Weapon,600BLK WILSHIRE BLVD 
Assault w/Deadly Weapon,700BLK OCEAN PARK BLVD
Assault w/Deadly Weapon,700BLK PACIFIC ST
Assault w/Deadly Weapon,7TH ST / MONTANA AVE
Assault w/Deadly Weapon,800BLK WILSON PL
Assault w/Deadly Weapon,900BLK 4TH ST
Assault w/Deadly Weapon,900BLK OLYMPIC BLVD W
Assault w/Deadly Weapon,BERKELEY ST / SANTA MONICA BLVD
Assault w/Deadly Weapon,BROTMAN MED CTR
Assault w/Deadly Weapon,EUCLID ST / WILSHIRE BLVD
Assault w/Deadly Weapon,LINCOLN BLVD / COLORADO AVE
Assault w/Deadly Weapon,LINCOLN BLVD / MARINE ST
Assault w/Deadly Weapon,LINCOLN BLVD / MONTANA AVE
Assault w/Deadly Weapon,LINCOLN BLVD / OZONE AVE
Assault w/Deadly Weapon,LINCOLN BLVD / PICO BLVD
Assault w/Deadly Weapon,LINCOLN BLVD / PICO BLVD
Assault w/Deadly Weapon,LINCOLN BLVD / SANTA MONICA BLVD
Assault w/Deadly Weapon,LINCOLN BLVD / SANTA MONICA BLVD
Assault w/Deadly Weapon,LINCOLN BLVD/BROADWAY
Assault w/Deadly Weapon,MAIN ST/HOLLISTER AVE
Assault w/Deadly Weapon,OCEAN AVE / ARIZONA AVE 
Assault w/Deadly Weapon,OCEAN AVE / COLORADO AVE
Assault w/Deadly Weapon,OCEAN AVE / HOLLISTER AVE
Assault w/Deadly Weapon,OCEAN AVE / PICO BLVD
Assault w/Deadly Weapon,OCEAN AVE / SANTA MONICA BLVD
Assault w/Deadly Weapon,OCEAN AVE / WASHINGTON AVE
Assault w/Deadly Weapon,OCEAN AVE / WILSHIRE BLVD
Assault w/Deadly Weapon,PACIFIC COAST HWY / CALIFORNIA INCLINE
Attempt Armed Robbery,1400BLK COLORADO AVE
Attempt Armed Robbery,1400BLK COLORADO AVE
Attempt Armed Robbery,1600BLK CLOVERFIELD BLVD
Attempt Armed Robbery,1700BLK PICO BLVD
Attempt Armed Robbery,500BLK SAN VICENTE BLVD
Attempt Armed Robbery,OCEAN AVE / BROADWAY 
Attempt Auto Theft,1100BLK PACIFIC COAST HWY
Attempt Auto Theft,1200BLK 11TH ST
Attempt Auto Theft,1200BLK 7TH ST
Attempt Auto Theft,1200BLK 7TH ST
Attempt Auto Theft,1200BLK OAK ST
Attempt Auto Theft,1400BLK 7TH ST
Attempt Auto Theft,1500BLK BROADWAY
Attempt Auto Theft,1500BLK PACIFIC COAST HWY
Attempt Auto Theft,200BLK 25TH ST
Attempt Auto Theft,2500BLK 5TH ST
Attempt Auto Theft,300BLK CALIFORNIA AVE 
Attempt Auto Theft,600BLK 7TH ST
Attempt Auto Theft,700BLK ALTA AVE
Attempt Auto Theft,700BLK GRANT ST
Attempt Auto Theft,900BLK 15TH ST
Attempt Auto Theft,LINCOLN BLVD / WASHINGTON AVE
Attempt Auto Theft,OCEAN AVE / BROADWAY
Attempt Burglary,1000BLK 10TH ST
Attempt Burglary,1000BLK EUCLID ST
Attempt Burglary,1000BLK EUCLID ST
Attempt Burglary,1000BLK PEARL ST
Attempt Burglary,1000BLK PICO BLVD
Attempt Burglary,1000BLK STANFORD ST
Attempt Burglary,100BLK SANTA MONICA PL
Attempt Burglary,1100BLK 12TH ST
Attempt Burglary,1100BLK 18TH ST
Attempt Burglary,1100BLK 6TH ST
Attempt Burglary,1100BLK 9TH ST
Attempt Burglary,1100BLK GEORGINA AVE
Attempt Burglary,1100BLK OAK ST
Attempt Burglary,1100BLK PICO BLVD
Attempt Burglary,1200BLK 15TH ST
Attempt Burglary,1200BLK 15TH ST
Attempt Burglary,1200BLK 15TH ST
Attempt Burglary,1200BLK 21ST ST
Attempt Burglary,1200BLK 21ST ST
Attempt Burglary,1200BLK 22ND ST
Attempt Burglary,1200BLK 5TH ST
Attempt Burglary,1200BLK 5TH ST
Attempt Burglary,1200BLK OCEAN AVE
Attempt Burglary,1200BLK OLYMPIC BLVD
Attempt Burglary,1200BLK PACIFIC ST
Attempt Burglary,1200BLK SUNSET AVE
Attempt Burglary,1200BLK WILSHIRE BLVD
Attempt Burglary,1300BLK 14TH ST
Attempt Burglary,1300BLK 16TH ST
Attempt Burglary,1300BLK 17TH ST
Attempt Burglary,1300BLK 18TH ST
Attempt Burglary,1300BLK EUCLID ST
Attempt Burglary,1300BLK GRANT ST
Attempt Burglary,1300BLK HARVARD ST
Attempt Burglary,1300BLK OCEAN AVE
Attempt Burglary,1300BLK STANFORD ST
Attempt Burglary,1400BLK 10TH ST
Attempt Burglary,1400BLK 19TH ST
Attempt Burglary,1400BLK 3RD STREET PROM
Attempt Burglary,1400BLK 3RD STREET PROM
Attempt Burglary,1400BLK 3RD STREET PROM
Attempt Burglary,1400BLK 5TH ST
Attempt Burglary,1400BLK FRANKLIN ST
Attempt Burglary,1400BLK SANTA MONICA BLVD
Attempt Burglary,1400BLK SANTA MONICA BLVD
Attempt Burglary,1400BLK SANTA MONICA BLVD
Attempt Burglary,1400BLK SANTA MONICA BLVD
Attempt Burglary,14TH ST / SANTA MONICA BLVD
Attempt Burglary,1500BLK 12TH ST
Attempt Burglary,1500BLK 16TH ST
Attempt Burglary,1500BLK 6TH ST
Attempt Burglary,1500BLK OCEAN AVE
Attempt Burglary,1500BLK YALE ST
Attempt Burglary,15TH ST / WILSHIRE BLVD
Attempt Burglary,1600BLK APPIAN WAY
Attempt Burglary,1600BLK MONTANA AVE
Attempt Burglary,1600BLK SAN VICENTE BLVD
Attempt Burglary,1600BLK SAN VICENTE BLVD
Attempt Burglary,1600BLK WELLESLEY DR
Attempt Burglary,1700BLK ASHLAND AVE
Attempt Burglary,1700BLK FRANKLIN ST
Attempt Burglary,1800BLK 11TH ST
Attempt Burglary,1800BLK 9TH ST
Attempt Burglary,1800BLK 9TH ST
Attempt Burglary,1800BLK 9TH ST
Attempt Burglary,1800BLK STEWART ST
Attempt Burglary,1800BLK STEWART ST
Attempt Burglary,1900BLK 22ND ST
Attempt Burglary,1900BLK CLOVERFIELD BLVD
Attempt Burglary,2000BLK CENTINELA AVE
Attempt Burglary,2000BLK CENTINELA AVE
Attempt Burglary,2000BLK CLOVERFIELD BLVD
Attempt Burglary,2000BLK EUCLID ST
Attempt Burglary,2000BLK OLYMPIC BLVD
Attempt Burglary,200BLK 7TH ST
Attempt Burglary,200BLK WILSHIRE BLVD
Attempt Burglary,2100BLK OCEAN PARK BLVD
Attempt Burglary,2100BLK PICO BLVD
Attempt Burglary,2200BLK 3RD ST
